ID_HOGAR,PC1,PC2
616,0.732551,-0.913520
617,0.397558,0.092031
618,0.028475,0.087999
619,0.989904,0.952007
620,-2.552240,-3.981149
621,-2.522876,2.433169
622,-0.640108,-0.469356
623,0.468176,3.108214
624,-0.989029,0.060020
625,-2.490873,1.557700
626,3.100576,-0.443960
627,-0.977612,1.650870
628,0.787782,1.313494
629,1.899526,0.767695
630,-0.905444,0.805009
631,1.050407,-0.292675
632,0.319658,0.288245
633,1.358490,-0.213308
634,0.169783,0.039523
635,0.082656,-0.293336
636,0.335143,-0.684922
637,1.188269,-0.593929
638,-1.349319,-0.783122
639,0.862035,-1.000594
640,-0.343084,-0.876175
641,0.711124,-0.375791
642,1.898585,2.055788
643,0.159832,0.623263
644,1.704912,-0.335920
645,-2.533339,-1.776697
646,0.270719,0.881542
647,-1.485435,-0.544834
648,2.533751,-0.740392
649,-0.616952,-0.065447
650,-1.025329,0.985708
651,1.674779,1.031479
652,1.651361,1.266775
653,1.428552,1.405621
654,-1.409224,1.216690
655,1.490573,0.125075
656,-0.199498,0.331819
657,0.593513,-0.478371
658,1.697221,0.262573
659,0.809672,-0.345297
660,-0.498099,-0.277090
661,-1.270081,0.045876
662,2.183411,0.177968
663,0.134478,0.285575
664,-0.691314,1.949465
665,-0.179148,0.597738
666,-0.165997,2.791480
667,-0.643289,1.278894
668,-0.073454,0.156081
669,0.001017,0.876375
670,1.647996,1.510945
671,0.632029,3.349573
672,1.209366,0.214342
673,-1.230402,0.729260
674,0.680384,1.741538
675,1.274357,2.402750
676,0.434871,-0.387509
677,1.941337,1.862306
678,-0.696310,0.509158
679,-1.142290,1.536180
680,1.117311,1.741250
681,1.478775,3.675946
682,0.846465,0.199305
683,1.114939,2.423388
684,0.472579,0.799325
685,0.738807,0.386730
686,0.055851,0.789082
687,0.493240,-0.489189
688,-0.941960,0.111982
689,-1.341711,-1.852856
690,-1.644435,0.008891
691,-0.663884,-0.933240
692,1.006283,0.323150
693,0.771038,1.249006
694,1.165036,3.777809
695,1.196353,0.071144
696,-0.854076,0.506035
697,0.595280,3.629361
698,1.818234,1.111909
699,0.691054,0.688350
700,0.106455,-0.344591
701,0.287289,5.339919
702,-2.170689,1.469919
703,-0.300495,3.906825
704,1.980033,0.070263
705,0.554493,0.617217
706,0.198158,3.326549
707,0.018214,1.160022
708,0.548236,-0.541308
709,0.958317,0.264709
710,-3.149884,-0.151313
711,0.006888,-0.517203
712,-1.484234,0.368897
713,0.883793,3.501376
714,0.634934,-0.815625
715,0.378285,-0.015269
716,-1.718086,0.447892
717,-1.810590,0.838004
718,-0.635544,-0.659192
719,-0.068483,0.824226
720,-0.089130,1.614042
721,0.412361,-0.112065
722,-2.256160,1.243759
723,2.002600,-0.586196
724,-3.666202,0.518107
725,-0.054915,1.151889
726,-1.170848,-0.944108
727,-1.574901,0.617472
728,-0.422242,-0.307996
729,0.929085,-0.516825
730,0.748615,0.287444
731,-0.770355,0.906073
732,2.413003,-0.569140
733,0.798654,-0.492715
734,1.873762,-0.465765
735,0.026021,-0.748713
736,-0.594991,-0.338524
737,0.947477,1.024885
738,-0.866533,-0.678882
739,0.619460,0.776246
740,1.748504,-0.293632
741,-2.225994,0.668443
742,-1.203343,-1.907768
743,-3.194884,-1.697066
744,-0.350374,-0.513871
745,0.220090,0.357354
746,0.487255,-0.422549
747,-0.946919,0.015029
748,0.987986,-0.742993
749,-1.191249,-0.776780
750,1.481244,0.357166
751,-1.831922,1.216827
752,0.746583,-0.246649
753,2.715958,-1.175614
