ID_HOGAR,ID_GEOGRAFIA,MES_NUM,ID_POBREZA,Total_Miembros_Hogar,Factor_Expansion_Anual,Ingreso_Neto_Total_Hogar,Gasto_Total_Bruto_Hogar,Brecha_Monetaria_Hogar,Ingreso_Monetario_Per_Capita,Gasto_Monetario_Per_Capita,Brecha_Monetaria_Per_Capita,Logaritmo_Ingreso_Hogar,Logaritmo_Gasto_Hogar,Logaritmo_Brecha_Per_Capita,Gasto_Alimentos,Gasto_Vestido_Calzado,Gasto_Vivienda_Combustible_Electricidad,Gasto_Muebles_Enseres_Mantenimiento,Gasto_Salud_Servicios_Medicos,Gasto_Transportes_Comunicaciones,Gasto_Esparcimiento_Cultura_Ensenanza,Gasto_Otros_Bienes_Servicios,Porcentaje_Gasto_Alimentos,Porcentaje_Gasto_Vestido_Calzado,Porcentaje_Gasto_Vivienda_Combustible_Electricidad,Porcentaje_Gasto_Muebles_Enseres_Mantenimiento,Porcentaje_Gasto_Salud_Servicios_Medicos,Porcentaje_Gasto_Transportes_Comunicaciones,Porcentaje_Gasto_Esparcimiento_Cultura_Ensenanza,Porcentaje_Gasto_Otros_Bienes_Servicios,Tasa_Ahorro_Hogar,ID_SEGMENTO,PCA_VALIDO
27764,289,10,3,4,37.861412,46050.000000,48745.628906,-2695.628906,11512.500000,12186.407227,-673.907227,10.737505,10.794391,0.000000,10551.585938,838.926147,1861.000000,917.003174,20870.000000,1354.000000,667.841125,1784.326416,0.271600,0.021600,0.047900,0.023600,0.537300,0.034900,0.017200,0.045900,-0.058537,3,1
27765,289,10,3,3,37.861412,27988.884766,36453.906250,-8465.021484,9329.628255,12151.302083,-2821.673828,10.239598,10.503831,0.000000,8561.964844,4175.541016,1002.000000,427.882751,210.000000,3252.175781,2494.161377,3089.960449,0.368800,0.179900,0.043200,0.018400,0.009000,0.140100,0.107400,0.133100,-0.302442,4,1
27766,289,10,1,2,37.861412,33607.175781,26250.619141,7356.556641,16803.587891,13125.309570,3678.278320,10.422525,10.175483,8.210472,6194.157227,794.961426,1455.000000,583.284485,930.000000,611.000000,320.000000,1488.637939,0.500500,0.064200,0.117600,0.047100,0.075100,0.049400,0.025900,0.120300,0.218898,1,1
27767,289,10,1,3,37.861412,72476.562500,27345.083984,45131.478516,24158.854167,9115.027995,15043.826172,11.191032,10.216329,9.618789,11733.408203,479.000000,1849.000000,0.000000,86.000000,1486.000000,545.000000,0.000000,0.725300,0.029600,0.114300,0.000000,0.005300,0.091900,0.033700,0.000000,0.622704,1,1
27768,289,10,3,4,37.861412,30171.058594,40798.882812,-10627.824219,7542.764648,10199.720703,-2656.956055,10.314672,10.616434,0.000000,9981.667969,369.000000,1603.000000,1238.101074,983.000000,6015.914062,6450.950195,1840.358887,0.350500,0.013000,0.056300,0.043500,0.034500,0.211200,0.226500,0.064600,-0.352252,4,1
27769,289,10,1,1,37.861412,18336.000000,14825.498047,3510.501953,18336.000000,14825.498047,3510.501953,9.816676,9.604171,8.163799,2941.940918,1242.880127,905.000000,258.635437,0.000000,252.000000,246.283203,336.347229,0.475800,0.201000,0.146400,0.041800,0.000000,0.040800,0.039800,0.054400,0.191454,1,1
27770,289,10,3,1,67.746727,26750.000000,28609.337891,-1859.337891,26750.000000,28609.337891,-1859.337891,10.194327,10.261523,0.000000,2788.375732,0.000000,1143.000000,770.746399,0.000000,1498.933105,0.000000,360.037598,0.425000,0.000000,0.174200,0.117500,0.000000,0.228500,0.000000,0.054900,-0.069508,3,1
27771,289,10,1,3,67.746727,73848.765625,36343.414062,37505.351562,24616.255208,12114.471354,12501.783854,11.209788,10.500796,9.433707,6359.248047,814.728088,2150.451172,1238.881958,2176.000000,5154.100586,1301.728638,2576.458984,0.292100,0.037400,0.098800,0.056900,0.099900,0.236700,0.059800,0.118300,0.507867,1,1
27772,289,10,1,3,67.746727,79792.687500,27947.048828,51845.638672,26597.562500,9315.682943,17281.879557,11.287200,10.238103,9.757472,4764.063965,1037.399048,1691.000000,1416.845581,17971.000000,4215.835938,22200.625000,936.315979,0.087800,0.019100,0.031200,0.026100,0.331400,0.077700,0.409400,0.017300,0.649754,1,1
27773,289,10,1,5,67.746727,31776.183594,27947.048828,3829.134766,6355.236719,5589.409766,765.826953,10.366504,10.238103,6.642261,14633.333984,1037.000000,2476.000000,331.348907,8481.000000,2063.976562,2482.530029,1205.763428,0.447400,0.031700,0.075700,0.010100,0.259300,0.063100,0.075900,0.036900,0.120503,2,1
